Designator,Mid X,Mid Y,Rotation,Layer
BT1,87.867842,-99.499957,90.0,bottom
BT2,65.402742,-99.430157,90.0,bottom
C1,99.225,-91.0,0.0,bottom
C10,106.775,-109.0,0.0,bottom
C2,49.775,-106.0,0.0,bottom
C3,58.0,-84.0,0.0,bottom
C4,79.775,-19.0,0.0,bottom
C5,69.775,-30.0,0.0,bottom
C6,87.775,-39.0,0.0,bottom
C7,62.775,-60.0,0.0,bottom
C8,92.225,-73.0,0.0,bottom
C9,94.0,-57.775,90.0,bottom
J1,77.0,-35.0,270.0,bottom
LED1,79.85567,-13.0,0.0,top
LED2,69.75567,-25.0,0.0,top
LED3,87.15567,-44.0,0.0,top
LED4,63.85567,-53.0,0.0,top
LED5,92.45567,-68.0,0.0,top
LED6,57.85567,-79.0,0.0,top
LED7,98.80567,-87.0,0.0,top
LED8,49.75567,-100.0,0.0,top
LED9,106.55087,-104.2202,0.0,top
R1,74.0,-13.0,180.0,bottom
U1,78.85,-66.0,0.0,bottom
U2,71.0,-83.0,90.0,bottom
U3,82.7,-82.1,90.0,bottom
